id,name,city,rating,rating_count,cost,cuisine,address
41115,Hocco Eatery,"Vastrapur,Ahmedabad",4.2,50+ ratings,400,"North Indian,Pizzas","Hocco Eatery, 11, Sardar Center,Opp. Vastrapur Lake, Vastrapur, Ahmedabad.380015"
294586,The Paratha Project,"Vastrapur,Ahmedabad",0,Too Few Ratings,200,"North Indian,Punjabi","The Paratha Project, FF-1, KUNDLINI COMPLEX, NEHRUPARK, OPP. SARDAR CENTRE, VASTRAPUR, AHMEDABAD,,  Ahmedabad Municipal Corporation, Gujarat- 380015"
392856,Das Khaman,"Vastrapur,Ahmedabad",4.1,100+ ratings,200,Snacks,"Das Khaman, C/22 Rudra Square Judges Bunglow Char Rasta Bodakdev Ahmedabad"
39270,Oven Story Pizza,"Vastrapur,Ahmedabad",4.1,100+ ratings,400,"Pizzas,Italian","Oven Story Pizza, SHOP NO 2, HOTEL SHAHI PALACE ,VASTRAPUR LAKE, AHMEDABAD,GUJARAT"
390556,Shiv Roop Food,"Vastrapur,Ahmedabad",3.4,50+ ratings,200,"Thalis,Combo","Shiv Roop Food, 09, Ground Floor, JB Towers, Drive In Road,Near sal hospital, Gurukul, Ahmedabad"
490310,Urban Express,"Vastrapur,Ahmedabad",0,Too Few Ratings,500,"Snacks,North Indian","Urban Express, BOGGIE NO. 07,SR.NO 761, BOGGIE CHEFS,B/H ORNET PARK, VILLAGE :- SHILAJ,TA :- DASKROI, DIST :- AHMEDABAD - 380059 ,Thaltej(New West Zone),Ahmedabad Municipal Corporation,Ahmedabad,Gujarat-380059"
464390,The House of Makeba,"Vastrapur,Ahmedabad",3.7,20+ ratings,800,Indian,"The House of Makeba, #2, Sigma Corporates, Sindhubhavan Marg, opp. Courtyard Marriott, Bodakdev, Ahmedabad, Gujarat 380054, India"
566187,Faasos' Signature Wraps & Rolls,"Vastrapur,Ahmedabad",0,Too Few Ratings,350,"Snacks,Beverages","Faasos' Signature Wraps & Rolls, SHOP NO 2, HOTEL SHAHI PALACE ,VASTRAPUR LAKE, AHMEDABAD, GUJARAT"
574916,GJ 25 Kathiyawadi Thali,"Vastrapur,Ahmedabad",0,Too Few Ratings,200,Indian,"GJ 25 Kathiyawadi Thali, FF-14&15, Manas Complex, Opp. Star Bazar, Jodhpur, Satellite, Ahmedabad, Gujarat-380015"
422628,Jay Jhulelal Dal Pakwan,"Vastrapur,Ahmedabad",4.5,50+ ratings,150,Indian,"Jay Jhulelal Dal Pakwan, Sudarshan Complex, Judges Bunglow Rd, Suryapooja Block B, Satellite, Ahmedabad, Gujarat 380015, India"
71836,Mayur Bhajiya,"Vastrapur,Ahmedabad",4.3,20+ ratings,250,Beverages,"Mayur Bhajiya, LL33, C Tower, Indraprasth Tower, Near Drive in Cinema Road, Gurukul, Ahmedabad"
429155,falashin juices and Dishes,"Vastrapur,Ahmedabad",4,50+ ratings,200,"Juices,Beverages"," falashin juices and Dishes, GF / 16, SUN ORBIT, NR.PANDIT DINDAYAL AUDITORIUM, B/H RAJPATH CLUB, BODAKDEV  , Ahmedabad Municipal Corporation, Ahmedabad Municipal Corporation, Gujarat-380054"
156456,The Good Bowl,"Vastrapur,Ahmedabad",4,100+ ratings,400,"North Indian,Punjabi","The Good Bowl, SHOP NO 2,HOTEL SHAHI PALACE ,VASTRAPUR LAKE,AHMEDABAD,GUJARAT"
458958,Spice dragon,"Vastrapur,Ahmedabad",0,Too Few Ratings,400,"North Indian,Chinese","Spice dragon, Shop No. 39, OM Tower, Jyoti Owners Associates, Opp. Bidiwala Park, Near Star Bazar, Jodhpur Char Rasta, Satellite-380015"
515531,Akkad Bakkad Bombay Boo,"Vastrapur,Ahmedabad",0,Too Few Ratings,150,Fast Food,"Akkad Bakkad Bombay Boo, SHOP NO:9, SARDAR CENTER, OPP.NEHRUPARK FOUNDATION, Ahmedabad, Gujarat - 380053"
388581,Jain Nashta Post,"Vastrapur,Ahmedabad",0,Too Few Ratings,200,Indian,"Jain Nashta Post, C 804 Iscon Park Opp Star Bazaar Satellite Road Ahmedabad"
503307,Ruchi'S Kitchen,"Vastrapur,Ahmedabad",0,Too Few Ratings,150,"Fast Food,Snacks","Ruchi'S Kitchen, GF, Iscon Emporio, Near Jodhpur Cross Road, Satellite, Ahmedabad - 380016"
524277,Bateel,"Vastrapur,Ahmedabad",0,Too Few Ratings,1000,"Healthy Food,Snacks","Bateel, Iscon Emporio, Shop No.134, 1st floor, Beside Star bazar, Satellite Road, Jodhpur Cross Roads Ahmedabad - 380015"
126633,New Egg World,"Vastrapur,Ahmedabad",3.9,100+ ratings,400,"Fast Food,Snacks","New Egg World, Sunrise Center Opp himalaya Mall upto Sales India, Drive in Road, Vastrapur, AMC Zone -2 380052"
121189,Jalaram Parotta House,"Vastrapur,Ahmedabad",3.9,100+ ratings,200,"North Indian,Gujarati","Jalaram Parotta House, satelite road nr. shivranjani cross road opp. bima nagar"
306313,MoMo Cafe - Courtyard By Marriott,"Vastrapur,Ahmedabad",0,Too Few Ratings,1000,"North Indian,Asian","MoMo Cafe - Courtyard By Marriott, Courtyard By Marriott Satellite Road, Ramdev Nagar, Satellite, Ahmedabad, Gujarat 380015, India"
377330,Amritsar De Kulche,"Vastrapur,Ahmedabad",0,Too Few Ratings,280,Indian,"Amritsar De Kulche, SHOP NO. 13, GROUND FLOOR, DEV  SHRUSHTI-1, OPP RELIANCE FRESH,  BODAKDEV, AHMEDABAD, Bodakdev ,  Ahmedabad Municipal Corporation,  Ahmedabad Municipal Corporation,  Gujarat - 380054"
430490,Raahi Thee Food Talk,"Vastrapur,Ahmedabad",0,Too Few Ratings,200,"Indian,American","Raahi Thee Food Talk, 411 Nr Atithi Resturant, Bodakdev, Ahmedabad, Gujarat 380054, India"
65293,Cafe Soul Square,"Vastrapur,Ahmedabad",0,Too Few Ratings,850,"American,Continental","Cafe Soul Square, 56, Rajpat Row House, Opposite AIS School, Bodakdev, Ahmedabad"
73923,The Butter Kitchen,"Vastrapur,Ahmedabad",3.6,100+ ratings,250,"Combo,North Indian","The Butter Kitchen, 316, Gala Empire, Opposite Doordarshan Tower, Drive In Road, Thaltej, Ahmedabad"
434633,Urban Chai,"Vastrapur,Ahmedabad",0,Too Few Ratings,150,"Indian,Snacks","Urban Chai, 24,groundfloor,Advait Complex, Sandesh Press Rd, Vastrapur, Ahmedabad, Gujarat 380015, India"
432334,Chula Matka Biryani Kitchen,"Vastrapur,Ahmedabad",0,Too Few Ratings,400,Biryani,"Chula Matka Biryani Kitchen, G.F, Shop no.13,Super Plaza NR: Sandesh Press,Vastrapur Ahmedabad 380054 , Thaltej Road , Ahmedabad Municipal Corporation, Ahmedabad Municipal Corporation, Gujarat-380054"
